name,weighting,n_factors,date,ret
accruals,ew,5,02/05/1991,-0.000839143
accruals,ew,5,03/05/1991,-0.002561913
accruals,ew,5,06/05/1991,-0.008828151
accruals,ew,5,07/05/1991,-0.000511848
accruals,ew,5,08/05/1991,0.003193486
accruals,ew,5,10/05/1991,-0.011660362
accruals,ew,5,13/05/1991,0.006303585
accruals,ew,5,14/05/1991,0.002469114
accruals,ew,5,15/05/1991,-0.003042271
accruals,ew,5,16/05/1991,-0.003762089
accruals,ew,5,17/05/1991,0.001777158
accruals,ew,5,21/05/1991,0.006561179
accruals,ew,5,22/05/1991,0.000875871
accruals,ew,5,23/05/1991,-0.00023322
accruals,ew,5,24/05/1991,-0.000714464
accruals,ew,5,27/05/1991,-0.002608979
accruals,ew,5,28/05/1991,0.001361868
accruals,ew,5,29/05/1991,-0.003737616
accruals,ew,5,30/05/1991,0.005368727
accruals,ew,5,31/05/1991,0.006171049
accruals,ew,5,03/06/1991,0.000218759
accruals,ew,5,04/06/1991,0.004086613
accruals,ew,5,05/06/1991,-0.006919432
accruals,ew,5,06/06/1991,-0.000121856
accruals,ew,5,07/06/1991,-0.002308289
accruals,ew,5,10/06/1991,-0.001601512
accruals,ew,5,11/06/1991,-0.002269714
accruals,ew,5,12/06/1991,0.006273909
accruals,ew,5,13/06/1991,0.002583097
accruals,ew,5,14/06/1991,0.00412483
accruals,ew,5,17/06/1991,-0.002540882
accruals,ew,5,18/06/1991,-0.002284808
accruals,ew,5,19/06/1991,0.005663633
accruals,ew,5,20/06/1991,0.005397123
accruals,ew,5,21/06/1991,-0.000746696
accruals,ew,5,24/06/1991,-0.002618189
accruals,ew,5,25/06/1991,0.00525105
accruals,ew,5,26/06/1991,0.002467877
accruals,ew,5,27/06/1991,-0.000160675
accruals,ew,5,28/06/1991,-0.000914815
accruals,ew,5,01/07/1991,0.003584566
accruals,ew,5,02/07/1991,0.000825532
accruals,ew,5,03/07/1991,-0.00303303
accruals,ew,5,04/07/1991,-0.001438471
accruals,ew,5,05/07/1991,-0.003594461
accruals,ew,5,08/07/1991,-0.000163627
accruals,ew,5,09/07/1991,0.004684023
accruals,ew,5,10/07/1991,0.003098107
accruals,ew,5,11/07/1991,0.002029483
accruals,ew,5,12/07/1991,0.00033622
accruals,ew,5,15/07/1991,-0.002107484
accruals,ew,5,16/07/1991,0.004425998
accruals,ew,5,17/07/1991,0.003796583
accruals,ew,5,18/07/1991,-0.001747622
accruals,ew,5,19/07/1991,-0.002335297
accruals,ew,5,22/07/1991,-0.001221237
accruals,ew,5,23/07/1991,0.005782107
accruals,ew,5,24/07/1991,-0.003882963
accruals,ew,5,25/07/1991,-0.001728845
